"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.922850000E-1,5.387936532E-2,-6.092724949E-2,6.064727902E-2,1.014554493E-1
6.023250000E-1,5.525725707E-2,-7.047161460E-2,6.606990844E-2,1.112872218E-1
6.123660000E-1,5.255201831E-2,-7.167216390E-2,7.144443691E-2,1.140303524E-1
6.224060000E-1,5.173902959E-2,-6.406138837E-2,7.812544703E-2,1.135093570E-1
6.324460000E-1,5.121066049E-2,-6.103044748E-2,8.708378673E-2,1.180289506E-1
6.425082500E-1,4.807182774E-2,-5.658059567E-2,9.374932945E-2,1.195876298E-1
6.525482500E-1,4.211460426E-2,-4.661131650E-2,9.909988940E-2,1.173330422E-1
6.625582500E-1,3.913434595E-2,-4.917815328E-2,1.085185036E-1,1.254043596E-1
6.725982500E-1,3.682192415E-2,-5.298061669E-2,1.144086197E-1,1.313473719E-1
6.826382500E-1,3.784737363E-2,-6.171007454E-2,1.188268661E-1,1.391415866E-1
6.926792500E-1,3.405369818E-2,-8.028908819E-2,1.215749830E-1,1.496210832E-1
7.027192500E-1,3.202705085E-2,-8.717611432E-2,1.274091452E-1,1.576657768E-1
7.127592500E-1,3.008640558E-2,-1.000847220E-1,1.279891729E-1,1.652373196E-1
7.227992500E-1,2.810023353E-2,-9.812708199E-2,1.303121150E-1,1.655288333E-1
7.328402500E-1,2.330654114E-2,-1.023828164E-1,1.312711090E-1,1.680997918E-1
7.428802500E-1,1.850111224E-2,-1.040988639E-1,1.351534873E-1,1.715964153E-1
7.529202500E-1,2.185057104E-2,-1.026514322E-1,1.383647323E-1,1.736650889E-1
7.629602500E-1,2.899770439E-2,-1.035723984E-1,1.414035112E-1,1.776599604E-1
7.730012500E-1,3.449233621E-2,-1.020115241E-1,1.464211792E-1,1.817559738E-1
7.830412500E-1,3.416702896E-2,-9.231904149E-2,1.522644460E-1,1.813136862E-1
7.930812500E-1,3.075845167E-2,-8.197772503E-2,1.563185751E-1,1.791701054E-1
8.031222500E-1,1.867754757E-2,-6.185195968E-2,1.599853933E-1,1.725393919E-1
8.131622500E-1,1.127049793E-2,-4.244150966E-2,1.617065966E-1,1.675629113E-1
8.232022500E-1,8.835626766E-3,-3.210323304E-2,1.611926258E-1,1.645957122E-1
8.332122500E-1,9.839905426E-3,-2.376061678E-2,1.606552005E-1,1.627005965E-1
8.432522500E-1,1.210382581E-2,-1.298038289E-2,1.592101306E-1,1.601963127E-1
8.532932500E-1,1.808129065E-2,-6.992797367E-3,1.562753320E-1,1.574732094E-1
8.633332500E-1,1.999767497E-2,-5.542058498E-4,1.541819721E-1,1.554744181E-1
8.733732500E-1,1.582556777E-2,-7.294666488E-3,1.498697847E-1,1.508794655E-1
8.834132500E-1,1.583594643E-2,-1.246190257E-2,1.445661336E-1,1.459638421E-1
8.934542500E-1,1.568601094E-2,-2.587171644E-2,1.431147158E-1,1.462778812E-1
9.034942500E-1,1.406041905E-2,-3.945405781E-2,1.460081190E-1,1.518969679E-1
9.135342500E-1,7.338866591E-3,-3.607104719E-2,1.507480145E-1,1.551771351E-1
9.235752500E-1,-2.967678010E-3,-3.837442771E-2,1.567968279E-1,1.614516926E-1
9.336152500E-1,-1.031374093E-2,-3.071411327E-2,1.578730047E-1,1.611633197E-1
9.436552500E-1,-1.386494935E-2,-2.281830832E-2,1.589546800E-1,1.611815818E-1
9.536952500E-1,-8.116250858E-3,-1.735323668E-2,1.637337208E-1,1.648506587E-1
9.637362500E-1,-7.977606729E-4,-1.452227775E-2,1.665979773E-1,1.672316328E-1
9.737762500E-1,8.277759887E-3,-1.105617359E-2,1.715575904E-1,1.721126581E-1
9.838162500E-1,1.538241841E-2,-9.815957397E-3,1.755469739E-1,1.764928097E-1
9.938562500E-1,2.039608546E-2,-9.387188591E-3,1.816634536E-1,1.830457046E-1
1.003866250E0,2.389175072E-2,-1.193632931E-2,1.884809583E-1,1.903637659E-1
1.013907250E0,2.641163394E-2,-8.360236883E-3,1.943417788E-1,1.963063803E-1
1.023947250E0,2.666836977E-2,-5.731952842E-3,2.024828792E-1,2.043119516E-1
1.033987250E0,3.230441734E-2,-3.238711506E-4,2.108750343E-1,2.133353238E-1
1.044027250E0,3.353039175E-2,3.230393864E-3,2.185931653E-1,2.211734490E-1
1.054068250E0,4.292096570E-2,1.132374071E-2,2.269011587E-1,2.312024485E-1
1.064108250E0,4.800840467E-2,1.042736787E-2,2.359294295E-1,2.409901090E-1
1.074148250E0,4.899963364E-2,6.965526380E-3,2.456893772E-1,2.506247249E-1
1.084189250E0,4.591915756E-2,7.442231290E-3,2.549499869E-1,2.591591242E-1
1.094229250E0,4.461900145E-2,9.591401555E-3,2.635821104E-1,2.675039798E-1
1.104269250E0,4.557415098E-2,1.054981444E-2,2.735503912E-1,2.775213836E-1
1.114309250E0,4.989646003E-2,1.095488202E-2,2.821185887E-1,2.867064078E-1
1.124350250E0,5.193192139E-2,5.199697800E-3,2.886303663E-1,2.933111823E-1
1.134390250E0,5.789234117E-2,6.050043739E-3,2.949956059E-1,3.006834444E-1
1.144430250E0,8.041696250E-2,-1.532248035E-2,3.085878491E-1,3.192618469E-1
1.154471250E0,8.215893805E-2,-4.575826693E-3,3.304776847E-1,3.405679512E-1
1.164511250E0,6.989745796E-2,2.053748071E-2,3.397307694E-1,3.474542249E-1
1.174521250E0,6.382278353E-2,1.931908354E-2,3.537256718E-1,3.599561439E-1
1.184561250E0,5.631481856E-2,3.080757335E-2,3.691602051E-1,3.746995095E-1
1.194601250E0,5.491559580E-2,3.505451605E-2,3.829205036E-1,3.884232921E-1
1.204641250E0,5.445879325E-2,3.637947142E-2,4.028549194E-1,4.081437396E-1
1.214682250E0,5.450193584E-2,4.425470531E-2,4.196520150E-1,4.254841403E-1
1.224722250E0,4.885894060E-2,5.380554870E-2,4.394143820E-1,4.453843646E-1
1.234762250E0,4.305964708E-2,5.715021119E-2,4.568048418E-1,4.623753273E-1
1.244803250E0,3.078693524E-2,6.128453463E-2,4.731247425E-1,4.780697141E-1
1.254843250E0,2.479721978E-2,7.056272030E-2,4.897577763E-1,4.954358475E-1
1.264883250E0,1.758660004E-2,6.832059473E-2,5.072959661E-1,5.121778885E-1
1.274923250E0,1.657033712E-2,6.957068294E-2,5.259447694E-1,5.307848495E-1
1.284964250E0,4.010680597E-3,7.570972294E-2,5.462757349E-1,5.515117644E-1
1.295004250E0,-5.984695628E-3,8.564171195E-2,5.668348074E-1,5.732992397E-1
1.305044250E0,-1.982962340E-2,7.510031015E-2,5.844339728E-1,5.895730143E-1
1.315085250E0,-3.841182962E-2,7.908519357E-2,6.050255299E-1,6.113802649E-1
1.325125250E0,-5.862799287E-2,8.191660792E-2,6.248126626E-1,6.328810596E-1
1.335165250E0,-7.641924173E-2,6.879813969E-2,6.429412961E-1,6.511118143E-1
1.345175250E0,-7.450037450E-2,5.783191696E-2,6.620123982E-1,6.686966815E-1
1.355215250E0,-6.957485527E-2,6.065540388E-2,6.840458512E-1,6.902452210E-1
1.365255250E0,-6.103193760E-2,4.795750231E-2,7.033641338E-1,7.076340327E-1
1.375296250E0,-4.948260635E-2,5.361139029E-2,7.242217660E-1,7.278872686E-1
1.385336250E0,-3.969786316E-2,5.571080744E-2,7.423294187E-1,7.454747348E-1
1.395376250E0,-3.966857120E-2,5.251128227E-2,7.613233328E-1,7.641624483E-1
1.405417250E0,-3.912782297E-2,5.466677994E-2,7.780066729E-1,7.809057730E-1
1.415457250E0,-3.691766411E-2,6.054677069E-2,7.949758172E-1,7.981324297E-1
1.425497250E0,-3.875639290E-2,5.503832176E-2,8.142052889E-1,8.169831867E-1
1.435537250E0,-3.653079271E-2,5.685806647E-2,8.280960917E-1,8.308492497E-1
1.445578250E0,-3.265480325E-2,5.735611916E-2,8.473303914E-1,8.498969660E-1
1.455618250E0,-2.674711123E-2,5.117439479E-2,8.598008752E-1,8.617376466E-1
1.465658250E0,-1.550789364E-2,4.199489579E-2,8.749215007E-1,8.760660354E-1
1.475699250E0,-1.504050940E-2,4.461438209E-2,8.934174180E-1,8.946571091E-1
1.485739250E0,-1.558754407E-2,4.881760105E-2,9.079695940E-1,9.094145993E-1
1.495779250E0,-1.530817896E-2,5.016995594E-2,9.222590327E-1,9.237494727E-1
1.505819250E0,-1.989792660E-2,4.475001991E-2,9.365802407E-1,9.378598185E-1
1.515829250E0,-1.820655167E-2,4.237767681E-2,9.521378875E-1,9.532543746E-1
1.525869250E0,-1.880837418E-2,3.617432714E-2,9.707059264E-1,9.715618006E-1
1.535910250E0,-1.787626743E-2,2.554059215E-2,9.848353267E-1,9.853286271E-1
1.545950250E0,-2.140031196E-2,1.845859736E-2,1.001812458E0,1.002211003E0
1.555990250E0,-2.724807896E-2,1.681382954E-2,1.018267632E0,1.018770893E0
1.566031250E0,-3.391331434E-2,2.379369922E-2,1.033963561E0,1.034793167E0
1.576071250E0,-4.427620769E-2,2.942282520E-2,1.051776648E0,1.053119272E0
1.586111250E0,-5.134246871E-2,3.913956881E-2,1.071371436E0,1.073314823E0
1.596151250E0,-6.045021489E-2,4.440090805E-2,1.089096665E0,1.091676333E0
1.606192250E0,-6.201731414E-2,4.864512756E-2,1.107979417E0,1.110779404E0
1.616232250E0,-6.513427943E-2,5.173039809E-2,1.127650857E0,1.130714360E0
1.626272250E0,-6.760799885E-2,5.674785376E-2,1.147695780E0,1.151085037E0
1.636318000E0,-6.820880622E-2,7.072173059E-2,1.164783478E0,1.168920252E0
1.646358000E0,-7.371677458E-2,7.700806856E-2,1.186958432E0,1.191736013E0
1.656398000E0,-8.429218084E-2,1.054375768E-1,1.207759857E0,1.215280267E0
