"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.080755834E-1,2.416587114E0,4.508408070E0,-2.559679985E0,5.719929915E0
6.180445834E-1,2.774237871E0,4.423970222E0,-2.616936445E0,5.840912998E0
6.280125834E-1,3.155778170E0,4.152117729E0,-2.520983458E0,5.792613839E0
6.379805834E-1,3.517736435E0,3.663899660E0,-2.218476772E0,5.542586899E0
6.479495833E-1,3.808638811E0,3.085782528E0,-1.713152647E0,5.192559619E0
6.579175833E-1,4.014898777E0,2.557048559E0,-1.194651961E0,4.907657571E0
6.678865833E-1,4.188956738E0,2.449373007E0,-6.961572766E-1,4.902185393E0
6.778545833E-1,4.308123112E0,2.701956034E0,-2.750266194E-1,5.092752772E0
6.878235833E-1,4.413891315E0,2.886930466E0,4.795543849E-2,5.274381839E0
6.977915833E-1,4.522577763E0,2.884356022E0,2.321806401E-1,5.369089972E0
7.077595833E-1,4.672907352E0,2.944688320E0,3.509038389E-1,5.534472507E0
7.177285833E-1,4.937126637E0,2.777452230E0,4.208510816E-1,5.680367589E0
7.276965833E-1,5.195444584E0,2.535649300E0,5.384639502E-1,5.806212640E0
7.376655834E-1,5.444447517E0,2.051135302E0,5.814125538E-1,5.846982585E0
7.476335833E-1,5.696883202E0,1.383975267E0,6.416863203E-1,5.897595026E0
7.576025834E-1,5.957142830E0,1.176282287E0,9.015824795E-1,6.138732905E0
7.675705834E-1,6.307659626E0,1.013932347E0,1.283268094E0,6.516241690E0
7.775395834E-1,6.707098007E0,8.858197331E-1,1.778545618E0,6.995217280E0
7.875075834E-1,7.106485844E0,7.976946235E-1,2.485870361E0,7.570865817E0
7.974755834E-1,7.408921719E0,9.471821785E-1,3.306686640E0,8.168442425E0
8.074445833E-1,7.422220230E0,1.360823035E0,4.013630867E0,8.546954148E0
8.174125833E-1,7.053033352E0,1.640958667E0,4.425120354E0,8.486443010E0
8.273815833E-1,6.258134842E0,1.526892543E0,4.457854271E0,7.833780520E0
8.373495833E-1,5.177233696E0,1.342994571E0,4.211853027E0,6.807869644E0
8.473185833E-1,4.005586624E0,1.277000904E0,3.852957249E0,5.702695422E0
8.572865833E-1,2.888504744E0,1.141236067E0,3.433443546E0,4.629731526E0
8.672545833E-1,1.905253172E0,9.173645973E-1,3.121776342E0,3.770548367E0
8.772235833E-1,1.167035580E0,6.994043589E-1,3.145307779E0,3.426966520E0
8.871915833E-1,6.642126441E-1,5.320898890E-1,3.628342867E0,3.726817684E0
8.971605834E-1,3.656087220E-1,3.558488786E-1,4.427423000E0,4.456722180E0
9.071285833E-1,2.471164316E-1,2.032643855E-1,5.387077332E0,5.396571608E0
9.170975834E-1,2.611270845E-1,1.751260608E-1,6.350033283E0,6.357812453E0
9.270655834E-1,3.218477070E-1,2.746763527E-1,7.175079823E0,7.187545026E0
