"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.525276250E-1,1.297389984E0,-2.204738140E0,3.926352739E0,4.686185749E0
6.625376250E-1,1.231423974E0,-2.258924246E0,3.919014215E0,4.688050360E0
6.725776250E-1,1.181112885E0,-2.273133755E0,3.676188231E0,4.480683499E0
6.826176250E-1,1.182392001E0,-2.281934977E0,3.671979666E0,4.482043367E0
6.926586250E-1,1.115559459E0,-2.238495827E0,3.696547031E0,4.463159915E0
7.026986250E-1,1.013108730E0,-2.161036015E0,3.724387407E0,4.423519811E0
7.127386250E-1,9.221134782E-1,-2.152313232E0,3.763104677E0,4.432121651E0
7.227796250E-1,8.496603370E-1,-2.231482983E0,3.778249741E0,4.469520119E0
7.328196250E-1,7.644152045E-1,-2.267029285E0,3.806614876E0,4.496005916E0
7.428596250E-1,6.184601188E-1,-2.193518639E0,3.838639975E0,4.464210321E0
7.528996250E-1,4.560083151E-1,-2.132888556E0,3.896769524E0,4.465643279E0
7.629406250E-1,3.695456088E-1,-2.178802252E0,3.813899040E0,4.407898490E0
7.729806250E-1,3.999112844E-1,-2.414642096E0,3.739981174E0,4.469662702E0
7.830206250E-1,3.586471975E-1,-2.481666803E0,3.745174170E0,4.507064177E0
7.930616250E-1,2.980957031E-1,-2.415865660E0,3.769442081E0,4.487088314E0
8.031016250E-1,2.218797654E-1,-2.412034035E0,3.796870947E0,4.503706008E0
8.131416250E-1,9.831736982E-2,-2.386577845E0,3.820970058E0,4.506132743E0
8.231816250E-1,-1.902550459E-2,-2.351935625E0,3.852650881E0,4.513854446E0
8.332226250E-1,-8.408198506E-2,-2.377920866E0,3.834612131E0,4.512851385E0
8.432626250E-1,-1.570589989E-1,-2.271000624E0,3.887623549E0,4.505078048E0
8.533026250E-1,-2.795096040E-1,-2.183768034E0,4.023274899E0,4.586252212E0
8.633436250E-1,-4.225168228E-1,-2.098838329E0,4.056072235E0,4.586432685E0
8.733526250E-1,-4.997455180E-1,-2.137135267E0,3.989905357E0,4.553727868E0
8.833936250E-1,-5.990816951E-1,-2.247928381E0,3.900773287E0,4.541818261E0
8.934336250E-1,-6.848855615E-1,-2.243584156E0,3.868509531E0,4.524168884E0
9.034736250E-1,-7.740593553E-1,-2.304305077E0,3.871976137E0,4.571781817E0
9.135136250E-1,-8.482971191E-1,-2.308614016E0,3.898822308E0,4.609785468E0
9.235546250E-1,-9.525886774E-1,-2.300140858E0,3.914392710E0,4.639023975E0
9.335946250E-1,-1.035390854E0,-2.299064159E0,3.922910929E0,4.663363634E0
9.436346250E-1,-1.134917498E0,-2.148269415E0,4.088576317E0,4.756002050E0
9.536756250E-1,-1.298000693E0,-2.069707870E0,4.294959068E0,4.941170900E0
9.637156250E-1,-1.457028508E0,-2.045750141E0,4.277392864E0,4.960253565E0
