5.1667,-23757,7846.8,-543.86
5.2,-23598,8015.7,-483.49
5.2333,-23647,7882.2,-570.85
5.2667,-23543,8097.8,-782.1
5.3,-23731,8173.5,-700.56
5.3333,-23762,8144.6,-738.46
5.3667,-23539,8124.1,-910.94
5.4,-23605,8141.4,-1151.8
5.4333,-23653,8006.3,-825.9
5.4667,-23732,7943.7,-913.89
5.5,-23475,8290.4,-1127.7
5.5333,-23511,7938.7,-1035.5
5.5667,-23499,8219.6,-1096
5.6,-23651,8084.5,-1261.4
5.6333,-23604,8027.8,-1220.3
5.6667,-23653,8079.1,-1261.3
5.7,-23384,8195.5,-1110.3
5.7333,-23402,8105.7,-1205.6
5.7667,-23315,8133.3,-1450.7
5.8,-23471,8246.5,-1489.4
5.8333,-23563,8328.6,-1504.1
5.8667,-23457,8094.4,-1388
5.9,-23474,8175.2,-1550.6
5.9333,-23502,8178.1,-1577.6
5.9667,-23546,8259.5,-1480.5
6,-23356,8059.1,-1471.4
6.0333,-23645,8007.4,-1530.6
6.0667,-23399,8169.6,-1779.9
6.1,-23445,7961.2,-1856.7
6.1333,-23413,8296.6,-1742.4
6.1667,-23401,8102.3,-2057.6
6.2,-23506,8145.1,-1737.3
6.2333,-23362,8163.6,-1854.2
6.2667,-23424,8094.6,-2037.4
6.3,-23386,7997.5,-2103.6
6.3333,-23554,8309.2,-1887.6
6.3667,-23473,8101.5,-2009.7
6.4,-23235,8041.8,-2267.5
6.4333,-23261,8042.7,-2171
6.4667,-23381,8196.6,-2366.2
6.5,-23379,7962.4,-2511.2
6.5333,-23252,8113,-2207
6.5667,-23167,8140.1,-2319.8
6.6,-23409,8336.7,-2380.1
6.6333,-23342,8042.9,-2278.6
6.6667,-23242,8096.9,-2422.5
6.7,-23294,8150.2,-2450.8
6.7333,-23171,8070.7,-2496.3
6.7667,-23236,8072,-2588.3
6.8,-23210,8000.7,-2766
6.8333,-23491,8105.7,-2765.9
6.8667,-23113,8055.6,-2674.6
6.9,-23229,7936.5,-2788.1
6.9333,-23112,8144,-2849.2
6.9667,-23296,8099.3,-2995
7,-23068,7973.1,-3067.1
7.0333,-23140,8063.7,-2987.2
7.0667,-23097,8047.3,-3026.1
7.1,-23184,8113.2,-2856.2
7.1333,-23201,8017.1,-3030.5
7.1667,-23257,8017,-3173.1
7.2,-23254,7981.4,-3091.9
7.2333,-23279,7829.2,-3078.6
7.2667,-23125,8184.2,-3132.6
7.3,-22975,8011.4,-3260.7
7.3333,-23140,7887.1,-3450.7
7.3667,-23223,7937.6,-3439.8
7.4,-23051,7740,-3417.9
7.4333,-22961,7885.6,-3748
7.4667,-23255,8033.7,-3496.3
7.5,-23041,8132.6,-3546.6
7.5333,-23212,7838.7,-3700.2
7.5667,-23193,7887.9,-3627.9
7.6,-23105,7725.6,-3714.3
7.6333,-23116,7826.1,-3576.6
7.6667,-23104,7786.5,-3757.2
7.7,-22988,7613,-3825.7
7.7333,-23077,7742.3,-3966.1
7.7667,-23095,7889.8,-4134.8
7.8,-22877,7821,-3793.6
7.8333,-22929,7552.4,-3923
7.8667,-23003,7702.5,-3836.7
7.9,-23045,7911,-4072.2
7.9333,-23048,7488.5,-4294.5
7.9667,-22808,7595.4,-4107.6
